SOURCEID,SAMPLEID,LONWGS84,LATWGS84,UHDICM,LHDICM,ORCDRC,BLD
Alterra_98,98_1,5.941425509,50.94736083,0,20,13.92111369,NA
Alterra_98,98_2,5.941425509,50.94736083,25,40,6.380510441,NA
Alterra_98,98_3,5.941425509,50.94736083,45,60,1.160092807,NA
Alterra_104,104_1,5.869530439,51.08004464,0,10,17.40139211,NA
Alterra_104,104_2,5.869530439,51.08004464,10,15,17.40139211,NA
Alterra_104,104_3,5.869530439,51.08004464,15,25,17.40139211,NA
Alterra_112,112_1,5.938154089,51.07866031,0,20,16.82134571,NA
Alterra_112,112_2,5.938154089,51.07866031,25,35,4.64037123,NA
Alterra_112,112_4,5.938154089,51.07866031,65,80,4.060324826,NA
Alterra_141,141_1,6.04744639,51.33598466,3,18,27.84222738,NA
Alterra_141,141_2,6.04744639,51.33598466,23,29,37.12296984,NA
Alterra_141,141_4,6.04744639,51.33598466,43,58,1.740139211,NA
Alterra_142,142_1,6.093429309,51.29355632,0,17,14.50116009,NA
Alterra_142,142_2,6.093429309,51.29355632,33,47,6.380510441,NA
Alterra_142,142_4,6.093429309,51.29355632,90,105,4.64037123,NA
Alterra_144,144_1,6.179041761,51.33610801,0,7,48.72389791,NA
Alterra_144,144_3,6.179041761,51.33610801,20,40,8.120649652,NA
Alterra_144,144_4,6.179041761,51.33610801,58,75,3.480278422,NA
Alterra_144,144_7,6.179041761,51.33610801,135,145,1.160092807,NA
Alterra_151,151_1,5.924823084,51.14070171,1,12,4.64037123,NA
Alterra_151,151_2,5.924823084,51.14070171,33,48,0,NA
Alterra_151,151_3,5.924823084,51.14070171,54,65,0,NA
Alterra_151,151_4,5.924823084,51.14070171,67,81,0,NA
Alterra_151,151_5,5.924823084,51.14070171,84,101,0,NA
Alterra_162,162_1,5.824875545,51.18620082,0,20,12.76102088,NA
Alterra_162,162_2,5.824875545,51.18620082,30,40,0.580046404,NA
Alterra_162,162_3,5.824875545,51.18620082,45,55,0.580046404,NA
Alterra_162,162_4,5.824875545,51.18620082,60,70,0,NA
Alterra_162,162_5,5.824875545,51.18620082,90,100,0,NA
Alterra_181,181_1,5.957055962,51.25673028,0,10,11.60092807,NA
Alterra_181,181_2,5.957055962,51.25673028,20,30,2.320185615,NA
Alterra_181,181_3,5.957055962,51.25673028,40,50,0.580046404,NA
Alterra_181,181_4,5.957055962,51.25673028,70,80,0,NA
Alterra_198,198_1,5.603214057,51.28525178,0,30,14.50116009,NA
Alterra_198,198_2,5.603214057,51.28525178,30,55,0.580046404,NA
Alterra_198,198_3,5.603214057,51.28525178,55,80,0,NA
Alterra_198,198_4,5.603214057,51.28525178,80,95,0.580046404,NA
Alterra_198,198_5,5.603214057,51.28525178,95,120,0.580046404,NA
Alterra_236,236_1,4.048074627,51.245746,0,20,16.82134571,NA
Alterra_236,236_2,4.048074627,51.245746,20,40,15.0812065,NA
Alterra_236,236_3,4.048074627,51.245746,40,80,2.320185615,NA
Alterra_236,236_4,4.048074627,51.245746,80,120,1.160092807,NA
Alterra_241,241_1,4.040852804,51.35012404,0,28,11.60092807,NA
Alterra_241,241_2,4.040852804,51.35012404,28,60,11.02088167,NA
Alterra_241,241_3,4.040852804,51.35012404,60,90,5.220417633,NA
Alterra_241,241_4,4.040852804,51.35012404,90,120,2.900232019,NA
Alterra_255,255_1,3.952537415,51.23202092,0,16,13.92111369,NA
Alterra_255,255_2,3.952537415,51.23202092,16,23,12.76102088,NA
Alterra_255,255_3,3.952537415,51.23202092,23,28,11.02088167,NA
Alterra_255,255_4,3.952537415,51.23202092,28,32,3.480278422,NA
Alterra_255,255_5,3.952537415,51.23202092,32,50,0.580046404,NA
Alterra_255,255_6,3.952537415,51.23202092,50,100,1.160092807,NA
Alterra_277,277_1,3.913237695,51.25184688,0,30,9.860788863,NA
Alterra_277,277_2,3.913237695,51.25184688,30,45,5.220417633,NA
Alterra_277,277_3,3.913237695,51.25184688,45,80,2.320185615,NA
Alterra_277,277_4,3.913237695,51.25184688,80,100,4.64037123,NA
Alterra_277,277_5,3.913237695,51.25184688,100,120,2.320185615,NA
Alterra_277,277_6,3.913237695,51.25184688,120,140,2.320185615,NA
Alterra_294,294_1,3.866702371,51.27704948,0,30,12.18097448,NA
Alterra_294,294_2,3.866702371,51.27704948,30,45,3.480278422,NA
Alterra_294,294_3,3.866702371,51.27704948,45,68,5.220417633,NA
Alterra_294,294_4,3.866702371,51.27704948,68,80,6.380510441,NA
Alterra_294,294_5,3.866702371,51.27704948,80,86,4.64037123,NA
Alterra_294,294_6,3.866702371,51.27704948,86,100,3.480278422,NA
Alterra_294,294_7,3.866702371,51.27704948,100,128,1.160092807,NA
Alterra_294,294_8,3.866702371,51.27704948,128,145,0.580046404,NA
Alterra_294,294_9,3.866702371,51.27704948,145,167,4.060324826,NA
Alterra_305,305_1,6.19837047,51.41844988,0,25,9.860788863,NA
Alterra_305,305_2,6.19837047,51.41844988,25,40,6.380510441,NA
Alterra_305,305_3,6.19837047,51.41844988,40,56,5.800464037,NA
Alterra_305,305_4,6.19837047,51.41844988,56,70,8.700696056,NA
Alterra_305,305_5,6.19837047,51.41844988,80,95,2.320185615,NA
Alterra_305,305_6,6.19837047,51.41844988,120,130,0,NA
Alterra_310,310_1,3.397429955,51.26970087,0,25,12.18097448,NA
Alterra_310,310_2,3.397429955,51.26970087,25,40,5.220417633,NA
Alterra_310,310_3,3.397429955,51.26970087,40,60,4.060324826,NA
Alterra_310,310_4,3.397429955,51.26970087,60,82,3.480278422,NA
Alterra_310,310_5,3.397429955,51.26970087,82,95,7.540603248,NA
Alterra_310,310_6,3.397429955,51.26970087,95,120,2.900232019,NA
Alterra_311,311_1,3.459355666,51.32904951,0,6,71.92575406,NA
Alterra_311,311_2,3.459355666,51.32904951,6,30,32.48259861,NA
Alterra_311,311_3,3.459355666,51.32904951,30,40,9.280742459,NA
Alterra_311,311_4,3.459355666,51.32904951,45,65,5.800464037,NA
Alterra_311,311_5,3.459355666,51.32904951,70,90,4.64037123,NA
Alterra_312,312_1,3.489570562,51.24939253,0,20,0,NA
Alterra_312,312_2,3.489570562,51.24939253,22,27,6.960556845,NA
Alterra_312,312_3,3.489570562,51.24939253,27,40,4.64037123,NA
Alterra_312,312_4,3.489570562,51.24939253,45,60,1.740139211,NA
Alterra_312,312_6,3.489570562,51.24939253,85,110,1.160092807,NA
Alterra_312,312_7,3.489570562,51.24939253,110,120,0.580046404,NA
