SOURCEID,SAMPLEID,LONWGS84,LATWGS84,UHDICM,LHDICM,ORCDRC,BLD
Alterra_840,840_3,3.827607397,51.57859927,55,75,3.480278422,NA
Alterra_840,840_4,3.827607397,51.57859927,75,120,4.060324826,NA
Alterra_844,844_1,3.73798704,51.6822392,0,30,6.960556845,NA
Alterra_844,844_2,3.73798704,51.6822392,30,45,1.160092807,NA
Alterra_844,844_3,3.73798704,51.6822392,50,70,0,NA
Alterra_844,844_4,3.73798704,51.6822392,75,85,0,NA
Alterra_844,844_5,3.73798704,51.6822392,100,120,1.160092807,NA
Alterra_877,877_1,5.399475433,51.62036944,0,15,23.20185615,NA
Alterra_877,877_2,5.399475433,51.62036944,15,35,15.0812065,NA
Alterra_877,877_3,5.399475433,51.62036944,35,80,3.480278422,NA
Alterra_877,877_4,5.399475433,51.62036944,80,100,2.900232019,NA
Alterra_880,880_1,5.360811571,51.68472501,5,15,33.64269142,NA
Alterra_880,880_2,5.360811571,51.68472501,25,35,12.76102088,NA
