COLOR	NAME	DESCRIPTION	MINIMUM	MAXIMUM
15997205	Rn45A	CL185	185	186
13558667	Ro40A	CL186	186	187
2584226	kVk	CL187	187	188
11483640	kVr	CL188	188	189
2168858	Rn15A	CL189	189	190
2708806	Rn95A	CL190	190	191
9864307	Hd30	CL191	191	192
6105711	Rn47C	CL192	192	193
4645856	pMn82C	CL193	193	194
9349103	Rd10A	CL194	194	195
1293888	Ro60A	CL195	195	196
6096298	Rd90A	CL196	196	197
7485041	Zb20A	CL197	197	198
7336199	Rn67C	CL198	198	199
11666660	Zb30A	CL199	199	200
15638332	Rd90C	CL200	200	201
4868661	tZd30	CL201	201	202
9427630	Rn44C	CL202	202	203
10036892	cZd21	CL203	203	204
9782983	cHn30	CL204	204	205
3416074	AM	CL205	205	206
762507	Vr	CL206	206	207
7945191	KT	CL207	207	208
1526981	cHd30	CL208	208	209
16326692	Rn42C	CL209	209	210
77457	zEZ30	CL210	210	211
12879267	pRn59	CL211	211	212
15195301	tZd21	CL212	212	213
8848393	Y30	CL213	213	214
13066709	ABk	CL214	214	215
16184903	AZ1	CL215	215	216
2798278	pRn86	CL216	216	217
15595196	|a GROEVE	CL217	217	218
1775976	Rd10C	CL218	218	219
11691168	Rn66A	CL219	219	220
4895667	pMn82A	CL220	220	221
10557881	kVb	CL221	221	222
9799287	pLn5	CL222	222	223
4940597	pVb	CL223	223	224
12060880	cY30	CL224	224	225
6989916	pZn30	CL225	225	226
3609717	hEV	CL226	226	227
3890252	AWo	CL227	227	228
4545266	AWg	CL228	228	229
9100597	Vb	CL229	229	230
293226	Rn45C	CL230	230	231
13673173	Rn14C	CL231	231	232
15358383	|i BOVLAND	CL232	232	233
13415112	Ro40C	CL233	233	234
5808625	pMv51	CL234	234	235
13446498	AQ	CL235	235	236
15090602	pRv81	CL236	236	237
15116744	cZd23	CL237	237	238
1995665	Rn94C	CL238	238	239
3513464	pRn56	CL239	239	240
12684171	cZd30	CL240	240	241
2328862	KRn2	CL241	241	242
10047376	KRd1	CL242	242	243
11822576	Ro60C	CL243	243	244
12950440	KRn1	CL244	244	245
15968645	Zd23	CL245	245	246
12234180	bRn46C	CL246	246	247
13729073	KRn8	CL247	247	248
3823262	Ld5	CL248	248	249
16035065	Rn15C	CL249	249	250
15989812	AWv	CL250	250	251
14968384	Rn46A	CL251	251	252
3774265	Rv01A	CL252	252	253
2683492	pRn89	CL253	253	254
12574928	ROb75	CL254	254	255
6761380	ALu	CL255	255	256
12438160	AGm9C	CL256	256	257
2052712	KRd7	CL257	257	258
8955496	ROb72	CL258	258	259
9951019	pKRn2	CL259	259	260
4478047	pKRn1	CL260	260	261
12530281	EL5	CL261	261	262
13313156	Ln5	CL262	262	263
15380070	AEm8	CL263	263	264
803543	BKd25	CL264	264	265
361259	AEm5	CL265	265	266
4002157	MOb15	CL266	266	267
15521614	AMm	CL267	267	268
5559513	AEm9	CL268	268	269
12540005	AEk9	CL269	269	270
3697857	Y23b	CL270	270	271
8145839	BZd24	CL271	271	272
11256532	BZd23	CL272	272	273
1199449	BKh25	CL273	273	274
1660567	BKd26	CL274	274	275
11736645	BKh26	CL275	275	276
11729806	Lh5	CL276	276	277
8029554	AHt	CL277	277	278
2477566	AR	CL278	278	279
4359453	BLd5	CL279	279	280
369078	tZd23	CL280	280	281
3868405	FG	CL281	281	282
5114766	Ldd5	CL282	282	283
14447854	Ldh5	CL283	283	284
1054265	BLh5	CL284	284	285
2123184	BLn5	CL285	285	286
13098507	Lnd5	CL286	286	287
5795684	BLd6	CL287	287	288
10723499	Lnd6	CL288	288	289
2914319	BLb6	CL289	289	290
11856961	Ldd6	CL290	290	291
1557190	AHl	CL291	291	292
2599342	Ld6	CL292	292	293
10945051	Ldh6	CL293	293	294
1687317	MZz	CL294	294	295
11458693	AHz	CL295	295	296
10366258	|j MYNSTRT	CL296	296	297
15874724	Lnh6	CL297	297	298
13804327	MK	CL298	298	299
14233847	AHv	CL299	299	300
7829392	BLh6	CL300	300	301
671490	BLn6	CL301	301	302
1215593	AHk	CL302	302	303
9784115	KK	CL303	303	304
15840774	AHc	CL304	304	305
13316752	Ln6	CL305	305	306
14835875	FK	CL306	306	307
12721045	MZk	CL307	307	308
9314724	KM	CL308	308	309
6949469	Lh6	CL309	309	310
13368891	KS	CL310	310	311
12446725	ABl	CL311	311	312
612971	AHa	CL312	312	313
13630783	MA	CL313	313	314
10504725	AHs	CL314	314	315
